status_id,status_name,status_type,transit
"296500","Потенциальный заказ","valid","0"
"323199","Привоз назначен Москва","success","0"
"323200","Приемка","success","0"
"325560","Думает МСК","valid","1"
"325561","Привезет сам МСК","valid","1"
"338355","Привоз назначен. Выезд Москва","success","0"
"349470","СКК. Не выходит на связь📵 МСК","success","0"
"349471","СКК. Клиент сливается🚽 МСК","success","0"
"349472","СКК. Подтверждение доставки✔️","success","0"
"349473","СКК. Уточнение интервала🕙 МСК","success","0"
"349474","СКК. Привезет сам СПБ","success","0"
"349475","СКК. Привезет сам МСК","success","0"
"383005","ДЕЗ. Инженер не назначен","invalid","0"
"383009","ДЕЗ. Требуется связаться","success","0"
"395235","ДОП.ДОСТАВКА - Привоз назначен","invalid","0"
"427269","Отказ от привоза. Уехал","success","0"
"433846","КЦ. Отказ по вине логистики","success","0"
"440148","Потенциальный заказ. НАВЫЕЗДЕ","success","0"
"440760","Думает. НАВЫЕЗДЕ","invalid","0"
"445781","ДЕЗ. Потенциальный заказ","success","0"
"1153991","Потенциальный кандидат","invalid","0"
"1154085","Кандидат Н/Д","invalid","0"
"1309263","БТ выезд. Потенциальный заказ","invalid","0"
"1331681","БТ выезд. КЦ думает","invalid","0"
"1331684","БТ выезд. Мастер не назначен","invalid","0"
"1354984","БТ выезд. Передать на аутсорс","invalid","0"
"1358274","Передано партнерам","success","0"
"1420396","Привоз назначен. СПБ","success","0"
"1420397","Привоз назначен. Выезд СПБ","success","0"
"1420398","Привоз назначен. ЧМ Москва","success","0"
"1420399","Привоз назначен. Выезд ЧМ Москва","success","0"
"1420400","Привоз назначен. ЧМ СПБ","success","0"
"1420401","Привоз назначен. Выезд ЧМ СПБ","success","0"
"1426220","Слив Москва - контроль Паша","success","0"
"1470921","Тестовый статус","invalid","0"
"1474412","На прозвон","success","0"
"1477682","СКК. Не выходит на связь📵 СПБ","success","0"
"1481991","СКК.Не выходит на связь.МСК.ЧМ","success","0"
"1481992","СКК.Уточнение интервала.МСК.ЧМ","success","0"
"1495257","СКК. Клиент сливается СПБ","success","0"
"1495274","СКК. Уточнение интервала СПБ","success","0"
"1506509","На прозвон. Юр лицо","success","0"
"323201","Диагностика🔬","success","0"
"323203","Диагностика завершена💵","success","0"
"323208","В ремонт🛠","success","0"
"323209","Ожидаются запчасти","success","0"
"324856","Предварительный заказ зч","success","0"
"324872","Оплачено ШП","success","0"
"325119","Запрос в закупку","success","0"
"367584","🚁Перемещение зч МСК --> СПБ⚙️","invalid","0"
"373558","Новая проблема","success","0"
"383011","ДЕЗ. В работе","invalid","0"
"383014","Назначен мастер. НА ВЫЕЗДЕ","success","0"
"886818","Демонтаж/Установка","invalid","0"
"1075147","Контроль услуг и зч","invalid","0"
"1080713","ДЕЗ. Нужен закреп","invalid","0"
"1082459","Запрос в закупку. Проверка","success","0"
"1153994","Кандидат думает","invalid","0"
"1154031","Приглашен на собеседование","invalid","0"
"1173037","Обнаружен брак","success","0"
"1188671","Жалоба(новая)","invalid","0"
"1188686","Жалоба(в работе)","invalid","0"
"1299728","Арбитраж жалобы","invalid","0"
"1309265","БТ выезд. В работе","invalid","0"
"1309282","БТ выезд. Подтверждение работ","invalid","0"
"1357310","БТ выезд. Передано в аутсорс","invalid","0"
"296497","Собрать⚒","success","0"
"296498","Рем. завершен ✅","success","0"
"323217","Служебный Статус","invalid","0"
"324871","Ожидает оплаты (Безнал)","success","0"
"364918","Ремонт завершен. Белорусская✅","success","0"
"369060","Ремонт завершен. Серебристый","success","0"
"369068","Ремонт завершен. Комсомола","success","0"
"383012","ДЕЗ. Ждет безнал","invalid","0"
"440783","Ожидаем оплаты. НАВЫЕЗДЕ","success","0"
"453942","Безруков. Собрать - проверка","success","0"
"1153997","Стажировка кандидата","invalid","0"
"1167888","Собрать - контроль","success","0"
"1313112","БТ. Ждет оплаты(безнал)","invalid","0"
"1329172","Ремонт Завершен. СПБ Нарвская","success","0"
"1331680","БТ выезд. Думает","invalid","0"
"1405408","БТ выезд. Проверка оплаты","invalid","0"
"1507240","СПБ Собрать - контроль","success","0"
"296496","Ожидает выдачи Войковская","success","0"
"324869","Отказ клиента от оборудования","success","0"
"324870","Ответственное хранение","success","0"
"344719","Ож. выдачи. Тимирязевская","success","0"
"353881","Ожидает выдачи СПБ","success","0"
"355586","На РМ","success","0"
"374562","В продажу","success","0"
"383013","ДЕЗ. Работы выполнены","invalid","0"
"874093","Утиль. Промежуточный подтип","success","0"
"1073888","ДЕЗ. Ждет оплаты безнал","invalid","0"
"1322671","Ож. выдачи. СПБ Нарвская","success","0"
"323198","Доставка.Белорусская","success","0"
"323219","Доставлено","success","0"
"324942","Забрал оборудование","success","0"
"324943","Привезено","success","0"
"327089","Водитель назначен","success","0"
"328224","Октябрьское поле --> Войковская","success","0"
"328225","Войковская -->Октябрьское поле","success","0"
"338357","Забрал оборудование. Выезд","success","0"
"338365","Привезено. Выезд","success","0"
"349784","Отдал товар","success","0"
"355259","Доставка.Тимирязевская 🚀","success","0"
"364478","Доставка СПБ","success","0"
"376399","Отдал товар Полежаевская","success","0"
"376407","Отдал товар Белорусская","success","0"
"378171","Белка->Полеж.Доставка","success","0"
"435390","Водитель назначен. Привоз.","success","0"
"435391","Водитель назначен. Отвоз.","success","0"
"960847","❌ Проблемная доставка ❌","success","0"
"1271765","Спор с доставистой","success","0"
"1322672","Доставка. СПБ Нарвская","success","0"
"1467781","Водитель назначен. Привоз Выезд","success","0"
"296495","Закрыт","success","0"
